Id,Factor,Type,Pfams
PGPT0000001,nifA|anfA|vnfA,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF07724;PF00498;PF17913;PF01590;PF13185;PF13492;PF02954;PF01078;PF00158;PF14532;PF16697
PGPT0000005,nifB,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF02579;PF04055
PGPT0000010,nifD|anfD,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF00148
PGPT0000015,nifE,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF02579;PF00148
PGPT0000020,nifF|fldA|isiB,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,
PGPT0000025,nifH|anfH,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF13614;PF02374;PF01656;PF00142;PF00148;PF10609
PGPT0000030,nifHD1|nifI1,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF00543
PGPT0000035,nifHD2|nifI2,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF00543
PGPT0000040,nifJ|por,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;CARBON_DIOXID_FIXATION;CO2_FIXATION-ALTERNATIVE_PAHTWAYS;PHOTOSYNTHETIC_CO2_FIXATION#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;PHOSPHATE_SOLUBILIZATION;P-SOLUBILISATION-ORGANIC_ACID_METABOLISM;P-SOLUBILISATION-PYRUVIC_ACID_BIOSYNTHESIS#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;POTASSIUM_SOLUBILIZATION;K-SOLUBILIZATION-ORGANIC_ACID_METABOLISM;K-SOLUBILISATION-PYRUVIC_ACID_BIOSYNTHESIS#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NITROSATIVE|OXIDATIVE_STRESS|ROS_SCAVENGING;NITROSATIVE|OXIDATIVE_STRESS|ROS_REGULATORY_PROTEINS#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_ORGANIC_ACID_UTILIZATION;PLANT_DERIVED_ORGANIC_ACID_USAGE-TRICARBOXYLIC_ACID_CYCLE,PF12837;PF12838;PF13183;PF13187;PF17147;PF01558;PF01855;PF02775;PF02780
PGPT0000045,nifK|anfK,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF11844;PF00148
PGPT0000050,nifM|ppiC,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF00639;PF13145;PF13616;PF13623;PF13624
PGPT0000055,nifN|vnfN,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF00148
PGPT0000060,nifQ,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF04891;PF01592
PGPT0000065,nifS|iscS,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;SULFUR_ASSIMILATION|MINERALIZATION;S-ASSSIMILATION-SULFUR_METABOLISM;S-METABOLISM-SULFUR_HOMEOSTASIS#PGPT;DIRECT_EFFECTS;PHYTOHORMONE|PLANT_SIGNAL_PRODUCTION;PLANT_VITAMIN_PRODUCTION;PLANT_VITAMIN_B1|THIAMIN_METABOLISM;PLANT_VITAMIN_B1|THIAMIN_BIOSYNTHESIS#PGPT;INDIRECT_EFFECTS;PLANT_IMMUNE_RESPONSE_STIMULATION;INDUCTION_OF_SYSTEMIC_RESISTANCE|ISR;ISR-VITAMIN_B1|THIAMIN_METABOLISM;ISR-VITAMIN_B1|THIAMIN_BIOSYNTHESIS#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_AMINO_ACID_UTILIZATION;PLANT_DERIVED_CYSTEINE_DEGRADATION|CONVERSION#PGPT;INDIRECT_EFFECTS;COMPETITIVE_EXCLUSION|CE;CE-BACTERIAL_FITNESS;CE-BACTERIAL_FITNESS-TOXIN-ANTITOXIN_SYSTEM;CE-BACTERIAL_FITNESS-SULFUR_MODIFICATION_PROTEINS,PF00266;PF08031;PF01212;PF01565
PGPT0000070,nifT|fixU,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF06988
PGPT0000075,nifU|iscU,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF01521;PF01592
PGPT0000080,nifV,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF00682
PGPT0000085,nifW,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF03206
PGPT0000090,nifX|nifY|vnfX|vnfY,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,
PGPT0000095,nifZ,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF04319
PGPT0000100,anfG,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF03139
PGPT0000101,anfO,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF09582
PGPT0000102,anfR,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF13772;PF06094
PGPT0000103,anfU,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF01106
